Name,LineID,Flux,eFlux,FWHM,eFWHM,Blueshift,eBlueshift,Luminosity,eLuminosity,Percentage,ePercentage
J0924+01,[OIII]4959n,4.42e-16,5.43e-18,696.9,6.1,0.00,2.07,2.21e+41,2.72e+39,0.556,0.007
J0924+01,[OIII]5007n,1.34e-15,1.64e-17,696.9,6.1,0.00,2.09,6.70e+41,8.23e+39,0.556,0.007
J0924+01,[OIII]4959i,3.53e-16,1.09e-17,2002.7,36.0,-588.51,25.50,1.77e+41,5.45e+39,0.444,0.014
J0924+01,[OIII]5007i,1.07e-15,3.30e-17,2002.7,36.0,-588.51,25.74,5.35e+41,1.65e+40,0.444,0.014
J0948+00,[OIII]5007b,1.59e-16,2.74e-17,4399.2,419.6,-960.01,289.17,5.49e+40,9.44e+39,0.057,0.010
J0948+00,[OIII]4959b,5.26e-17,9.04e-18,4399.2,419.6,-960.01,289.17,1.81e+40,3.12e+39,0.057,0.010
J0948+00,[OIII]5007n1,7.06e-16,9.13e-17,489.3,23.5,114.50,7.73,2.43e+41,3.15e+40,0.251,0.033
J0948+00,[OIII]5007n2,1.94e-15,1.36e-16,795.2,10.7,-67.57,10.78,6.70e+41,4.67e+40,0.692,0.048
J0948+00,[OIII]4959n2,6.42e-16,4.48e-17,795.2,10.7,-67.57,10.78,2.21e+41,1.54e+40,0.692,0.048
J0948+00,[OIII]4959n1,2.33e-16,3.02e-17,489.3,23.5,114.50,7.73,8.03e+40,1.04e+40,0.251,0.033
J2358-00,[OIII]5007i,1.52e-15,7.47e-17,1459.7,31.3,-90.86,8.22,8.66e+41,4.27e+40,0.286,0.014
J2358-00,[OIII]5007n,3.79e-15,3.19e-17,569.1,3.1,0.00,0.71,2.16e+42,1.82e+40,0.714,0.006
J2358-00,[OIII]4959n,1.25e-15,1.05e-17,569.1,3.1,0.00,0.71,7.14e+41,6.01e+39,0.714,0.006
J2358-00,[OIII]4959i,5.00e-16,2.47e-17,1459.7,31.3,-90.86,8.22,2.86e+41,1.41e+40,0.286,0.014
